instrumentIdentifier,CNLP_rating
67530661LTR0 0767105@AF8,Baa3
24950471HLTM 0768278#AC2,C
24950851NMS0 2668278#AC2,C
55267591FMD1 1068715#AA7,Baa2
55267651FMD1 0768715#AA7,Baa2
55267581FMD1 0768715#AB5,Baa2
23291422LTRM 26698525AA0,Ba2
23292842ESPV 10698525AA0,Ba2
3762451LULX 0770086#AA4,Baa3
3762461ESPL 0770086#AA4,Baa3
53748731ESPS 1070342@AG3,Baa3
3726572ESPL 07708653AA8,A2
46202661FMD5 2674170*AC3,A2
46202691FMD5 0774170*AC3,A2
46202731FMD5 1C74170*AC3,A2
50704351FMD5 0774170*AE9,A2
57362761LTR1 0774170*AJ8,A2
65455401LUL1 0774170*AR0,A2
71119151FMD5 0774170*AV1,A2
71119211LEQ0 1C74170*AV1,A2
71119451LEQ0 1074170*AV1,A2
71119461LEQ0 2674170*AV1,A2
49376291ESPS 0774264*AA4,A3
49375841FMD5 0774264*AB2,A3
58403481HLTB 2674264*AC0,A3
59162711NMS0 L274264*AC0,A3
58403441ESPS 1074264*AD8,A3
58403681ESPS 0774264*AD8,A3
59162422ESPS 1074264*AD8,A3
59162742ESPS 0774264*AD8,A3
43829391HLT0 2674273@AB9,Baa1
57871861LTRL 0774275@AB7,Baa2
57872461LTRL 0774275@AC5,Baa2
70226481FMD1 0774338*AA6,A1
70226491NMS0 L274338*AA6,A1
70226501LTRI 0774338*AA6,A1
71443542FMD1 0774338*AA6,A1
71443992NMS0 L274338*AA6,A1
71444482LTRI 0774338*AA6,A1
71070031NMS0 1074351@AA6,A1
71070061ESPL 0774351@AA6,A1
71070241NMS0 L274351@AA6,A1
